mod_bases	A,C
count_reads_C	75120
count_reads_A	77296
A_pass_calls_unmodified	10202486
A_pass_frac_unmodified	0.9982858129717158
A_fail_calls_unmodified	944873
A_pass_calls_modified_a	17519
A_pass_frac_modified_a	0.0017141870282842326
A_fail_calls_modified_a	169496
A_total_mod_calls	10220005
A_total_fail_mod_calls	1114369
C_pass_calls_modified_h	6093
C_pass_frac_modified_h	0.006385005454448284
C_fail_calls_modified_h	18089
C_pass_calls_unmodified	901098
C_pass_frac_unmodified	0.9442828893800163
C_fail_calls_unmodified	74256
C_pass_calls_modified_m	47076
C_pass_frac_modified_m	0.049332105165535434
C_fail_calls_modified_m	13391
C_total_mod_calls	954267
C_total_fail_mod_calls	105736
total_reads_used	77296
