name	rank	mean_percent	total_reads
Agaricales	O	0.31555555555555553	9
Agaricineae	O1	0.38285714285714284	7
Agaricomycetes	C	0.31555555555555553	9
Agaricomycetidae	C1	0.31555555555555553	9
Agaricomycotina	P1	0.48444444444444446	157
Alternaria	G	0.115	2
Alternaria dauci	S	0.115	2
Alternaria sect. Porri	G1	0.115	2
Amniota	P9	0.82672	167
Anthozoa	C	86.43290055248619	172303
Apansporoblastina	P1	0.13	1
Archaea	R2	0.25166666666666665	12
Ascochyta	G	0.24333333333333335	6
Ascochyta rabiei	S	0.24333333333333335	6
Ascomycota	P	0.645	376
Aspergillaceae	F	0.33785714285714286	14
Aspergillus	G	0.365	12
Aspergillus flavus	S	0.06	1
Aspergillus luchuensis	S	0.4642857142857143	7
Aspergillus subgen. Circumdati	G1	0.365	12
Australozyma	G	0.16	1
Australozyma saopauloensis	S	0.16	1
Basidiomycota	P	0.498828125	175
Bilateria	K2	0.82672	167
Boreoeutheria	C3	0.82672	167
Botrytis	G	0.694	15
Botrytis cinerea	S	0.694	15
Botrytis cinerea B05.10	S1	0.694	15
Candida	G	0.3476190476190476	22
Candida albicans	S	0.5783333333333334	6
Candida albicans SC5314	S1	0.5783333333333334	6
Candida dubliniensis	S	0.20833333333333334	12
Candida dubliniensis CD36	S1	0.20833333333333334	12
Candida orthopsilosis	S	0.4266666666666667	3
Candida orthopsilosis Co 90-125	S1	0.4266666666666667	3
Candida/Lodderomyces clade	F1	0.35	44
Candidozyma	G	0.05	1
Candidozyma auris	S	0.05	1
Catarrhini	O3	0.82672	167
Chaetomiaceae	F	0.6575	4
Chordata	P	0.82672	167
Clavicipitaceae	F	0.7081818181818181	12
Cnidaria	P	86.43290055248619	172303
Coccidioides	G	0.1875	4
Coccidioides posadasii	S	0.1875	4
Coccidioides posadasii str. Silveira	S1	0.1875	4
Colletotrichum	G	0.19958333333333333	25
Colletotrichum acutatum species complex	G1	0.208	5
Colletotrichum destructivum	S	0.153	10
Colletotrichum destructivum species complex	G1	0.19	19
Colletotrichum higginsianum	S	0.21625	8
Colletotrichum higginsianum IMI 349063	S1	0.21625	8
Colletotrichum lupini	S	0.208	5
Craniata	P1	0.82672	167
Cryptococcaceae	F	0.4891743119266055	146
Cryptococcus	G	0.148	10
Cryptococcus deneoformans	S	0.13	1
Cryptococcus deuterogattii	S	0.19	3
Cryptococcus deuterogattii R265	S1	0.19	3
Cryptococcus gattii	S	0.11	1
Cryptococcus gattii WM276	S1	0.11	1
Cryptococcus gattii species complex	G1	0.15375	8
Cryptococcus neoformans	S	0.12	1
Cryptococcus neoformans H99	S1	0.12	1
Cryptococcus neoformans species complex	G1	0.125	2
Cutaneotrichosporon	G	0.26	2
Cutaneotrichosporon cavernicola	S	0.26	2
Debaryomyces	G	0.13	1
Debaryomyces hansenii	S	0.13	1
Debaryomyces hansenii CBS767	S1	0.13	1
Debaryomycetaceae	F	0.3481395348837209	46
Deuterostomia	K3	0.82672	167
Didymellaceae	F	0.24333333333333335	6
Dikarya	K1	0.763277027027027	585
Dipnotetrapodomorpha	P7	0.82672	167
Dipodascales	O	0.5325	4
Dipodascales incertae sedis	O1	0.69	3
Dipodascomycetes	C	0.5325	4
Dothideomycetes	C	0.27454545454545454	11
Dothideomycetidae	C1	1.2	1
Drechmeria	G	0.3983720930232558	52
Drechmeria coniospora	S	0.3983720930232558	52
Euarchontoglires	C4	0.82672	167
Eukaryota	R2	86.92587016574586	173142
Eumetazoa	K1	86.59093922651934	172512
Eunicea	G	86.43290055248619	172303
Eunicea knighti	S	86.43290055248619	172303
Eurotiales	O	0.44105263157894736	20
Eurotiomycetes	C	0.39695652173913043	24
Eurotiomycetidae	C1	0.39695652173913043	24
Euteleostomi	P5	0.82672	167
Eutheria	C2	0.82672	167
Fungi	K	0.7715333333333333	596
Fungi incertae sedis	K1	0.5711111111111111	10
Fusarium	G	0.4309090909090909	46
Fusarium falciforme	S	0.41000000000000003	2
Fusarium fujikuroi	S	0.3725	4
Fusarium fujikuroi IMI 58289	S1	0.3725	4
Fusarium fujikuroi species complex	G1	0.312	5
Fusarium graminearum	S	0.8428571428571429	7
Fusarium graminearum PH-1	S1	0.8428571428571429	7
Fusarium keratoplasticum	S	0.34	2
Fusarium musae	S	0.25333333333333335	3
Fusarium oxysporum	S	0.45999999999999996	5
Fusarium oxysporum Fo47	S1	0.5449999999999999	4
Fusarium oxysporum f. sp. lycopersici	S1	0.12	1
Fusarium oxysporum f. sp. lycopersici 4287	S2	0.12	1
Fusarium oxysporum species complex	G1	0.45999999999999996	5
Fusarium poae	S	0.13	1
Fusarium pseudograminearum	S	0.335	14
Fusarium pseudograminearum CS3096	S1	0.335	14
Fusarium sambucinum species complex	G1	0.48727272727272725	22
Fusarium solani species complex	G1	0.375	4
Fusarium verticillioides	S	0.07	1
Fusarium verticillioides 7600	S1	0.07	1
Glomeraceae	F	0.62625	9
Glomerales	O	0.62625	9
Glomerellaceae	F	0.19958333333333333	25
Glomerellales	O	0.19958333333333333	25
Glomeromycetes	C	0.62625	9
Glomeromycotina	P1	0.62625	9
Gnathostomata	P3	0.82672	167
Haloarculaceae	F	0.09	1
Halobacteria	C	0.13	2
Halobacteriales	O	0.13	2
Halorhabdus	G	0.09	1
