mod_bases	C,A
count_reads_A	76960
count_reads_C	73076
C_pass_calls_unmodified	550581
C_pass_frac_unmodified	0.9472638339529931
C_fail_calls_unmodified	39369
C_pass_calls_modified_m	24441
C_pass_frac_modified_m	0.04205026211519305
C_fail_calls_modified_m	9926
C_pass_calls_modified_h	6211
C_pass_frac_modified_h	0.01068590393181392
C_fail_calls_modified_h	14064
C_total_mod_calls	581233
C_total_fail_mod_calls	63359
A_pass_calls_unmodified	6300440
A_pass_frac_unmodified	0.9936060396935239
A_fail_calls_unmodified	561969
A_pass_calls_modified_a	40544
A_pass_frac_modified_a	0.0063939603064760925
A_fail_calls_modified_a	133272
A_total_mod_calls	6340984
A_total_fail_mod_calls	695241
total_reads_used	76960
