mod_bases	A,C
count_reads_A	76498
count_reads_C	72106
A_pass_calls_unmodified	6365552
A_pass_frac_unmodified	0.9924564261320974
A_fail_calls_unmodified	546428
A_pass_calls_modified_a	48384
A_pass_frac_modified_a	0.007543573867902642
A_fail_calls_modified_a	146197
A_total_mod_calls	6413936
A_total_fail_mod_calls	692625
C_pass_calls_unmodified	490167
C_pass_frac_unmodified	0.9465534021828967
C_fail_calls_unmodified	36010
C_pass_calls_modified_m	22647
C_pass_frac_modified_m	0.04373324785070407
C_fail_calls_modified_m	8135
C_pass_calls_modified_h	5030
C_pass_frac_modified_h	0.009713349966399148
C_fail_calls_modified_h	12502
C_total_mod_calls	517844
C_total_fail_mod_calls	56647
total_reads_used	76498
