barcode	name	rank	mean_percent	total_reads
barcode09	Agaricales	O	0.17	2
barcode09	Agaricineae	O1	0.17	2
barcode09	Agaricomycetes	C	0.17	2
barcode09	Agaricomycetidae	C1	0.17	2
barcode09	Agaricomycotina	P1	0.317741935483871	42
barcode09	Alternaria	G	0.08	1
barcode09	Alternaria dauci	S	0.08	1
barcode09	Alternaria sect. Porri	G1	0.08	1
barcode09	Amniota	P9	0.31125	49
barcode09	Anthozoa	C	86.755	49706
barcode09	Archaea	R2	0.05	1
barcode09	Ascochyta	G	0.14666666666666667	3
barcode09	Ascochyta rabiei	S	0.14666666666666667	3
barcode09	Ascomycota	P	1.4844897959183674	89
barcode09	Aspergillaceae	F	0.375	4
barcode09	Aspergillus	G	0.375	4
barcode09	Aspergillus luchuensis	S	0.5700000000000001	2
barcode09	Aspergillus puulaauensis	S	0.28	1
barcode09	Aspergillus subgen. Circumdati	G1	0.4066666666666667	3
barcode09	Basidiomycota	P	0.3193548387096774	43
barcode09	Bilateria	K2	0.31125	49
barcode09	Boreoeutheria	C3	0.31125	49
barcode09	Botrytis	G	0.4166666666666667	3
barcode09	Botrytis cinerea	S	0.4166666666666667	3
barcode09	Botrytis cinerea B05.10	S1	0.4166666666666667	3
barcode09	Candida	G	0.31333333333333335	3
barcode09	Candida albicans	S	0.68	1
barcode09	Candida albicans SC5314	S1	0.68	1
barcode09	Candida dubliniensis	S	0.06	1
barcode09	Candida dubliniensis CD36	S1	0.06	1
barcode09	Candida orthopsilosis	S	0.2	1
barcode09	Candida orthopsilosis Co 90-125	S1	0.2	1
barcode09	Candida/Lodderomyces clade	F1	0.17125	8
barcode09	Catarrhini	O3	0.31125	49
barcode09	Chaetomiaceae	F	0.15	1
barcode09	Chordata	P	0.31125	49
barcode09	Cnidaria	P	86.755	49706
barcode09	Colletotrichum	G	0.73	7
barcode09	Colletotrichum acutatum species complex	G1	0.27	1
barcode09	Colletotrichum destructivum	S	1.18	1
barcode09	Colletotrichum destructivum species complex	G1	0.8066666666666666	6
barcode09	Colletotrichum higginsianum	S	0.732	5
barcode09	Colletotrichum higginsianum IMI 349063	S1	0.732	5
