specimen_id,chrom,n_positions,mean_coverage,median_coverage,sd_coverage,mean_methylation_5mC,positions_10x,pct_positions_10x
USNM_51861,OZ247652.1,7741604,1.3815087932681651,1,1.1034268830864025,5.303977391107223,19344,0.24987069863041303
USNM_51861,OZ247653.1,7327239,1.2983666835488783,1,0.8589022727475839,2.485335674451154,7562,0.10320394899088184
USNM_51861,OZ247654.1,6970733,1.311798916986205,1,0.9239924435805971,2.3040130229706057,10318,0.14801886688243546
USNM_51861,OZ247656.1,3829735,1.319734916384554,1,0.8826402096744641,2.9946960544872896,3886,0.1014691617043999
USNM_51861,OZ247655.1,3091531,1.528443997488623,1,3.300725059623062,3.81392240209822,16058,0.5194190192496857
USNM_51861,OZ247657.1,2922298,1.2814398120930857,1,0.7734596686026238,3.512656474770705,2592,0.08869731971208959
USNM_51861,OZ247658.1,2610913,1.3134482075810263,1,0.8105802175356548,3.441076538001544,2346,0.08985362591553223
USNM_51861,OZ247661.1,2590073,1.6053925893208416,1,2.099313313749124,2.8533763866303468,14508,0.5601386524626912
USNM_51861,OZ247662.1,2484622,1.3020886074420979,1,0.895854910220322,3.5625882981957715,3635,0.1462999200683243
USNM_51861,OZ247664.1,2369151,1.3120531363344927,1,0.8456150507591159,3.732634842930213,2866,0.12097160544009225
USNM_51861,OZ247665.1,2306457,1.3487938426773185,1,0.9092323159037689,3.9283036693087836,3323,0.14407378936611434
USNM_51861,OZ247663.1,2243503,1.316154692015121,1,0.9036463145452307,3.0178573107730764,3807,0.16968998927124235
USNM_51861,OZ247666.1,2196860,1.3102018335260326,1,0.9912294711062473,3.756792001570653,2666,0.12135502489917427
USNM_51861,OZ247660.1,2189161,1.3245270676756986,1,1.2435145466750839,3.324422188710489,3370,0.15394025382326837
USNM_51861,OZ247659.1,1951747,1.3330390670512111,1,1.2832272721515061,4.0056579869460665,3998,0.20484212349244035
USNM_51861,OZ247668.1,1938615,1.3033578095702345,1,0.8483685486455124,3.5387704230686,2628,0.13556069668294118
USNM_51861,OZ247667.1,1874771,1.2742281590658273,1,0.790269432849483,3.5047305151734793,1890,0.10081231254377201
USNM_51861,CBDDTY010000010.1,201731,1.4366607016274147,1,1.0402865777076566,2.4842463714179384,397,0.1967967243507443
USNM_51861,CBDDTY010000018.1,119601,1.3215274119781608,1,0.7287609368740505,3.0938034280755047,0,0
USNM_51861,CBDDTY010000022.1,112926,1.5223774861413668,1,1.0204764417599428,2.978803337306317,56,0.04958999698917875
USNM_51861,CBDDTY010000001.1,99328,1.3256382893041236,1,0.8593909211576587,8.57439300092908,116,0.11678479381443299
USNM_51861,CBDDTY010000025.1,99011,1.3630505701386715,1,0.7996046405011362,4.567208880201061,3,0.003029966367373322
USNM_51861,CBDDTY010000020.1,89737,1.3153771576941506,1,0.859564280180261,2.7550864614086885,157,0.1749557038902571
USNM_51861,CBDDTY010000029.1,86592,2.2426205654101996,1,2.898421550538595,8.930005397382269,2493,2.879018847006652
USNM_51861,CBDDTY010000023.1,72148,3.08019626323668,1,11.638406526316196,20.218212521905368,2979,4.1290125852414485
USNM_51861,CBDDTY010000019.1,71179,1.2020820747692438,1,0.6389096219520324,0.25076323348379154,49,0.06884052880765394
