barcode	name	rank	mean_percent	total_reads
barcode12	Agaricomycotina	P1	1.27	7
barcode12	Amniota	P9	0.38333333333333336	10
barcode12	Anthozoa	C	92.12192307692308	10286
barcode12	Archaea	R2	0.3	1
barcode12	Ascomycota	P	1.0776923076923077	29
barcode12	Aspergillaceae	F	1.6933333333333334	3
barcode12	Aspergillus	G	2.41	2
barcode12	Aspergillus luchuensis	S	2.41	2
barcode12	Aspergillus subgen. Circumdati	G1	2.41	2
barcode12	Basidiomycota	P	1.1214285714285714	8
barcode12	Bilateria	K2	0.38333333333333336	10
barcode12	Boreoeutheria	C3	0.38333333333333336	10
barcode12	Botrytis	G	0.23	1
barcode12	Botrytis cinerea	S	0.23	1
barcode12	Botrytis cinerea B05.10	S1	0.23	1
barcode12	Candida	G	3.525	2
barcode12	Candida dubliniensis	S	2.7	1
barcode12	Candida dubliniensis CD36	S1	2.7	1
barcode12	Candida orthopsilosis	S	4.35	1
barcode12	Candida orthopsilosis Co 90-125	S1	4.35	1
barcode12	Candida/Lodderomyces clade	F1	2.3225	4
barcode12	Catarrhini	O3	0.38333333333333336	10
barcode12	Chordata	P	0.38333333333333336	10
barcode12	Cnidaria	P	92.12192307692308	10286
barcode12	Colletotrichum	G	0.41666666666666663	3
barcode12	Colletotrichum destructivum species complex	G1	0.41666666666666663	3
barcode12	Colletotrichum higginsianum	S	0.41666666666666663	3
barcode12	Colletotrichum higginsianum IMI 349063	S1	0.41666666666666663	3
barcode12	Craniata	P1	0.38333333333333336	10
barcode12	Cryptococcaceae	F	1.27	7
barcode12	Debaryomycetaceae	F	2.104	5
barcode12	Deuterostomia	K3	0.38333333333333336	10
barcode12	Dikarya	K1	1.1864516129032259	40
barcode12	Dipnotetrapodomorpha	P7	0.38333333333333336	10
barcode12	Dipodascales	O	1.22	1
barcode12	Dipodascales incertae sedis	O1	1.22	1
barcode12	Dipodascomycetes	C	1.22	1
barcode12	Drechmeria	G	0.5025	4
barcode12	Drechmeria coniospora	S	0.5025	4
barcode12	Euarchontoglires	C4	0.38333333333333336	10
barcode12	Eukaryota	R2	92.52057692307692	10339
barcode12	Eumetazoa	K1	92.16701923076923	10299
barcode12	Eunicea	G	92.12192307692308	10286
barcode12	Eunicea knighti	S	92.12192307692308	10286
barcode12	Eurotiales	O	1.6933333333333334	3
barcode12	Eurotiomycetes	C	1.6933333333333334	3
barcode12	Eurotiomycetidae	C1	1.6933333333333334	3
barcode12	Euteleostomi	P5	0.38333333333333336	10
barcode12	Eutheria	C2	0.38333333333333336	10
barcode12	Fungi	K	1.1864516129032259	40
barcode12	Fusarium	G	0.41	2
barcode12	Fusarium fujikuroi	S	0.21	1
barcode12	Fusarium fujikuroi IMI 58289	S1	0.21	1
barcode12	Fusarium fujikuroi species complex	G1	0.21	1
barcode12	Fusarium graminearum	S	0.21	1
barcode12	Fusarium graminearum PH-1	S1	0.21	1
barcode12	Fusarium sambucinum species complex	G1	0.21	1
barcode12	Glomerellaceae	F	0.41666666666666663	3
barcode12	Glomerellales	O	0.41666666666666663	3
barcode12	Gnathostomata	P3	0.38333333333333336	10
barcode12	Haplorrhini	O1	0.38333333333333336	10
barcode12	Helotiales	O	0.23	1
barcode12	Hominidae	F	0.38333333333333336	10
barcode12	Homininae	F1	0.38333333333333336	10
barcode12	Hominoidea	O4	0.38333333333333336	10
barcode12	Homo	G	0.38333333333333336	10
barcode12	Homo sapiens	S	0.38333333333333336	10
barcode12	Hypocreaceae	F	0.9199999999999999	2
barcode12	Hypocreales	O	0.6025	9
barcode12	Hypocreomycetidae	C1	0.5518181818181818	12
barcode12	Kwoniella	G	1.27	7
barcode12	Kwoniella botswanensis	S	1.266	5
barcode12	Kwoniella shivajii	S	1.29	2
barcode12	Leotiomycetes	C	0.23	1
barcode12	Magnaporthales	O	3.03	1
barcode12	Malacalcyonacea	O	92.12192307692308	10286
barcode12	Mammalia	C	0.38333333333333336	10
barcode12	Metazoa	K	92.16701923076923	10299
barcode12	Methanobacteriati	K	0.3	1
barcode12	Methanobacteriota	P	0.3	1
barcode12	Methanomicrobia	C	0.3	1
barcode12	Methanosarcina	G	0.3	1
barcode12	Methanosarcina barkeri	S	0.3	1
barcode12	Methanosarcina barkeri 3	S1	0.3	1
barcode12	Methanosarcinaceae	F	0.3	1
barcode12	Methanosarcinales	O	0.3	1
barcode12	Naumovozyma	G	0.44	1
barcode12	Naumovozyma castellii	S	0.44	1
barcode12	Nectriaceae	F	0.41	2
barcode12	Octocorallia	C1	92.12192307692308	10286
barcode12	Ophiocordycipitaceae	F	0.514	5
barcode12	Opisthokonta	R3	92.52057692307692	10339
barcode12	Penicillium	G	0.26	1
barcode12	Penicillium psychrofluorescens	S	0.26	1
barcode12	Pezizomycotina	P2	0.8226315789473684	21
barcode12	Pichiomycetes	C	2.104	5
barcode12	Plexauridae	F	92.12192307692308	10286
barcode12	Primates	O	0.38333333333333336	10
barcode12	Puccinia	G	0.23	1
barcode12	Puccinia striiformis	S	0.23	1
barcode12	Puccinia striiformis f. sp. tritici	S1	0.23	1
barcode12	Pucciniaceae	F	0.23	1
barcode12	Pucciniales	O	0.23	1
barcode12	Pucciniomycetes	C	0.23	1
barcode12	Pucciniomycotina	P1	0.23	1
barcode12	Purpureocillium	G	0.56	1
barcode12	Purpureocillium takamizusanense	S	0.56	1
barcode12	Pyricularia	G	3.03	1
barcode12	Pyricularia grisea	S	3.03	1
barcode12	Pyriculariaceae	F	3.03	1
barcode12	Remersonia	G	0.48	1
barcode12	Remersonia thermophila	S	0.48	1
barcode12	Saccharomycetaceae	F	0.44	1
barcode12	Saccharomycetales	O	0.44	1
barcode12	Saccharomycetes	C	0.44	1
barcode12	Saccharomycotina	P2	1.74	7
barcode12	Sarcopterygii	P6	0.38333333333333336	10
barcode12	Sclerotiniaceae	F	0.23	1
barcode12	Serinales	O	2.104	5
barcode12	Simiiformes	O2	0.38333333333333336	10
barcode12	Sordaria	G	0.3	1
barcode12	Sordaria macrospora	S	0.3	1
barcode12	Sordariaceae	F	0.3	1
barcode12	Sordariales	O	0.39	2
barcode12	Sordariales incertae sedis	O1	0.48	1
barcode12	Sordariomycetes	C	0.688	17
barcode12	Sordariomycetidae	C1	1.27	3
barcode12	Stenosarchaea group	P1	0.3	1
barcode12	Teleostomi	P4	0.38333333333333336	10
barcode12	Tetrapoda	P8	0.38333333333333336	10
barcode12	Theria	C1	0.38333333333333336	10
barcode12	Tremellales	O	1.27	7
barcode12	Tremellomycetes	C	1.27	7
barcode12	Trichoderma	G	0.9199999999999999	2
barcode12	Trichoderma atroviride	S	0.9199999999999999	2
barcode12	Vertebrata	P2	0.38333333333333336	10
barcode12	Yamadazyma	G	1.23	1
barcode12	Yamadazyma tenuis	S	1.23	1
barcode12	Yarrowia	G	1.22	1
barcode12	Yarrowia lipolytica	S	1.22	1
barcode12	cellular organisms	R1	92.52346153846153	10340
barcode12	leotiomyceta	P3	0.8226315789473684	21
barcode12	root	R	92.52346153846153	10340
barcode12	saccharomyceta	P1	1.0776923076923077	29
barcode12	sordariomyceta	P4	0.6593749999999999	18
barcode12	unclassified	U	15.292987012987012	1183
barcode13	Agaricomycotina	P1	8.775	17
barcode13	Amniota	P9	0.5328571428571428	10
barcode13	Anthozoa	C	91.46858490566038	11871
barcode13	Ascomycota	P	0.618	17
barcode13	Basidiomycota	P	8.775	17
barcode13	Bilateria	K2	0.5328571428571428	10
barcode13	Boreoeutheria	C3	0.5328571428571428	10
barcode13	Botrytis	G	0.22	1
barcode13	Botrytis cinerea	S	0.22	1
barcode13	Botrytis cinerea B05.10	S1	0.22	1
barcode13	Candida	G	0.425	2
barcode13	Candida dubliniensis	S	0.425	2
barcode13	Candida dubliniensis CD36	S1	0.425	2
barcode13	Candida/Lodderomyces clade	F1	0.7525000000000001	4
barcode13	Catarrhini	O3	0.5328571428571428	10
barcode13	Chaetomiaceae	F	0.13	1
barcode13	Chordata	P	0.5328571428571428	10
barcode13	Clavicipitaceae	F	0.46	1
barcode13	Cnidaria	P	91.46858490566038	11871
barcode13	Craniata	P1	0.5328571428571428	10
barcode13	Cryptococcaceae	F	8.746666666666666	16
barcode13	Cryptococcus	G	0.6	1
barcode13	Cryptococcus gattii species complex	G1	0.6	1
barcode13	Debaryomycetaceae	F	0.7525000000000001	4
barcode13	Deuterostomia	K3	0.5328571428571428	10
barcode13	Dikarya	K1	5.149130434782609	35
barcode13	Dipnotetrapodomorpha	P7	0.5328571428571428	10
barcode13	Euarchontoglires	C4	0.5328571428571428	10
barcode13	Eukaryota	R2	91.78691588785047	11918
barcode13	Eumetazoa	K1	91.50377358490566	11881
barcode13	Eunicea	G	91.46858490566038	11871
barcode13	Eunicea knighti	S	91.46858490566038	11871
barcode13	Euteleostomi	P5	0.5328571428571428	10
barcode13	Eutheria	C2	0.5328571428571428	10
barcode13	Fungi	K	5.149130434782609	35
barcode13	Fusarium	G	0.36	2
barcode13	Fusarium musae	S	0.24	1
barcode13	Fusarium poae	S	0.48	1
barcode13	Fusarium sambucinum species complex	G1	0.48	1
barcode13	Gnathostomata	P3	0.5328571428571428	10
barcode13	Haplorrhini	O1	0.5328571428571428	10
barcode13	Helotiales	O	0.22	1
barcode13	Hominidae	F	0.5328571428571428	10
barcode13	Homininae	F1	0.5328571428571428	10
barcode13	Hominoidea	O4	0.5328571428571428	10
barcode13	Homo	G	0.5328571428571428	10
barcode13	Homo sapiens	S	0.5328571428571428	10
barcode13	Hypocreales	O	0.358	5
barcode13	Hypocreomycetidae	C1	0.335	6
barcode13	Kluyveromyces	G	0.98	1
barcode13	Kluyveromyces marxianus	S	0.98	1
barcode13	Kluyveromyces marxianus DMKU3-1042	S1	0.98	1
barcode13	Kwoniella	G	10.415	14
barcode13	Kwoniella botswanensis	S	0.5228571428571429	10
barcode13	Kwoniella dejecticola	S	0.24	1
barcode13	Kwoniella dejecticola CBS 10117	S1	0.24	1
barcode13	Kwoniella dendrophila	S	100	1
barcode13	Kwoniella dendrophila CBS 6074	S1	100	1
barcode13	Kwoniella pini	S	0.125	2
barcode13	Kwoniella pini CBS 10737	S1	0.125	2
barcode13	Leotiomycetes	C	0.22	1
barcode13	Lodderomyces	G	1.08	2
barcode13	Lodderomyces beijingensis	S	0.34	1
barcode13	Lodderomyces elongisporus	S	1.82	1
barcode13	Malacalcyonacea	O	91.46858490566038	11871
barcode13	Mammalia	C	0.5328571428571428	10
