name	rank	mean_percent	total_reads
Agaricomycotina	P1	4.192857142857143	37
Amniota	P9	0.8296875	40
Anthozoa	C	91.86600950118765	40339
Archaea	R2	0.36666666666666664	3
Ascomycota	P	2.5647826086956522	80
Aspergillaceae	F	1.77	4
Aspergillus	G	2.41	2
Aspergillus luchuensis	S	2.41	2
Aspergillus subgen. Circumdati	G1	2.41	2
Basidiomycota	P	4.056206896551724	38
Bilateria	K2	0.8296875	40
Boreoeutheria	C3	0.8296875	40
Botrytis	G	0.225	2
Botrytis cinerea	S	0.225	2
Botrytis cinerea B05.10	S1	0.225	2
Candida	G	2.268333333333333	6
Candida dubliniensis	S	1.8519999999999999	5
Candida dubliniensis CD36	S1	1.8519999999999999	5
Candida orthopsilosis	S	4.35	1
Candida orthopsilosis Co 90-125	S1	4.35	1
Candida/Lodderomyces clade	F1	1.6554545454545455	11
Catarrhini	O3	0.8296875	40
Chaetomiaceae	F	0.115	2
Chordata	P	0.8296875	40
Clavicipitaceae	F	0.28	2
Cnidaria	P	91.86600950118765	40339
Colletotrichum	G	0.655	4
Colletotrichum destructivum species complex	G1	0.655	4
Colletotrichum higginsianum	S	0.655	4
Colletotrichum higginsianum IMI 349063	S1	0.655	4
Craniata	P1	0.8296875	40
Cryptococcaceae	F	4.322222222222222	35
Cryptococcus	G	0.6	1
Cryptococcus gattii species complex	G1	0.6	1
Debaryomyces	G	0.29	1
Debaryomyces hansenii	S	0.29	1
Debaryomyces hansenii CBS767	S1	0.29	1
Debaryomycetaceae	F	1.5176923076923077	13
Deuterostomia	K3	0.8296875	40
Dikarya	K1	3.4073863636363635	124
Dipnotetrapodomorpha	P7	0.8296875	40
Dipodascales	O	1.22	1
Dipodascales incertae sedis	O1	1.22	1
Dipodascomycetes	C	1.22	1
Dothideomycetes	C	0.19	2
Dothideomycetidae	C1	0.19	2
Drechmeria	G	11.721111111111112	9
Drechmeria coniospora	S	11.721111111111112	9
Euarchontoglires	C4	0.8296875	40
Eukaryota	R2	92.22243498817967	40516
Eumetazoa	K1	91.93270783847981	40385
Eunicea	G	91.86600950118765	40339
Eunicea knighti	S	91.86600950118765	40339
Eurotiales	O	1.77	4
Eurotiomycetes	C	1.77	4
Eurotiomycetidae	C1	1.77	4
Euteleostomi	P5	0.8296875	40
Eutheria	C2	0.8296875	40
Fulvia	G	0.23	1
Fulvia fulva	S	0.23	1
Fungi	K	3.3750561797752807	125
Fungi incertae sedis	K1	0.53	1
Fusarium	G	0.94	10
Fusarium fujikuroi	S	1.89	2
Fusarium fujikuroi IMI 58289	S1	1.89	2
Fusarium fujikuroi species complex	G1	1.89	2
Fusarium graminearum	S	0.21	1
Fusarium graminearum PH-1	S1	0.21	1
Fusarium keratoplasticum	S	0.09	1
Fusarium musae	S	1.3399999999999999	2
Fusarium poae	S	0.48	1
Fusarium sambucinum species complex	G1	0.345	2
Fusarium solani species complex	G1	0.39999999999999997	2
Glomeraceae	F	0.53	1
Glomerales	O	0.53	1
Glomerellaceae	F	0.655	4
Glomerellales	O	0.655	4
Glomeromycetes	C	0.53	1
Glomeromycotina	P1	0.53	1
Gnathostomata	P3	0.8296875	40
Haplorrhini	O1	0.8296875	40
Helotiales	O	0.225	2
Hominidae	F	0.8296875	40
Homininae	F1	0.8296875	40
Hominoidea	O4	0.8296875	40
Homo	G	0.8296875	40
Homo sapiens	S	0.8296875	40
Hypocreaceae	F	3.276	5
Hypocreales	O	4.726785714285715	30
Hypocreomycetidae	C1	4.096666666666667	35
Kluyveromyces	G	0.98	1
Kluyveromyces marxianus	S	0.98	1
Kluyveromyces marxianus DMKU3-1042	S1	0.98	1
Kwoniella	G	4.6356	33
Kwoniella bestiolae	S	0.63	1
Kwoniella bestiolae CBS 10118	S1	0.63	1
Kwoniella botswanensis	S	0.6435	24
Kwoniella dejecticola	S	0.275	2
Kwoniella dejecticola CBS 10117	S1	0.275	2
Kwoniella dendrophila	S	100	1
Kwoniella dendrophila CBS 6074	S1	100	1
Kwoniella pini	S	0.125	2
