mod_bases	A,C
count_reads_C	71278
count_reads_A	76666
A_pass_calls_modified_a	50536
A_pass_frac_modified_a	0.009197226418184797
A_fail_calls_modified_a	133162
A_pass_calls_unmodified	5444164
A_pass_frac_unmodified	0.9908027735818152
A_fail_calls_unmodified	472694
A_total_mod_calls	5494700
A_total_fail_mod_calls	605856
C_pass_calls_unmodified	450172
C_pass_frac_unmodified	0.9040869198481715
C_fail_calls_unmodified	22263
C_pass_calls_modified_m	31251
C_pass_frac_modified_m	0.0627618339927299
C_fail_calls_modified_m	14373
C_pass_calls_modified_h	16507
C_pass_frac_modified_h	0.03315124615909867
C_fail_calls_modified_h	18581
C_total_mod_calls	497930
C_total_fail_mod_calls	55217
total_reads_used	76670
