mod_bases	A,C
count_reads_C	71195
count_reads_A	76537
A_pass_calls_modified_a	61259
A_pass_frac_modified_a	0.011608138032602612
A_fail_calls_modified_a	153172
A_pass_calls_unmodified	5215987
A_pass_frac_unmodified	0.9883918619673974
A_fail_calls_unmodified	423108
A_total_mod_calls	5277246
A_total_fail_mod_calls	576280
C_pass_calls_unmodified	446913
C_pass_frac_unmodified	0.9362022590538117
C_fail_calls_unmodified	35106
C_pass_calls_modified_m	22154
C_pass_frac_modified_m	0.04640864071324429
C_fail_calls_modified_m	7112
C_pass_calls_modified_h	8301
C_pass_frac_modified_h	0.017389100232943978
C_fail_calls_modified_h	10264
C_total_mod_calls	477368
C_total_fail_mod_calls	52482
total_reads_used	76537
