mod_bases	A,C
count_reads_C	8651
count_reads_A	8871
A_pass_calls_modified_a	5020
A_pass_frac_modified_a	0.0038014204590631697
A_fail_calls_modified_a	25059
A_pass_calls_unmodified	1315539
A_pass_frac_unmodified	0.9961985795409368
A_fail_calls_unmodified	120754
A_total_mod_calls	1320559
A_total_fail_mod_calls	145813
C_pass_calls_unmodified	118650
C_pass_frac_unmodified	0.9493139176701204
C_fail_calls_unmodified	9219
C_pass_calls_modified_h	1179
C_pass_frac_modified_h	0.009433131975837101
C_fail_calls_modified_h	2880
C_pass_calls_modified_m	5156
C_pass_frac_modified_m	0.041252950354042486
C_fail_calls_modified_m	1659
C_total_mod_calls	124985
C_total_fail_mod_calls	13758
total_reads_used	8871
