barcode	name	rank	mean_percent	total_reads
barcode18	Agaricomycotina	P1	0.18	3
barcode18	Amniota	P9	0.2175	6
barcode18	Anthozoa	C	84.805	13481
barcode18	Archaea	R2	0.21	1
barcode18	Ascochyta	G	0.06	1
barcode18	Ascochyta rabiei	S	0.06	1
barcode18	Ascomycota	P	0.21416666666666667	19
barcode18	Basidiomycota	P	0.15	4
barcode18	Bilateria	K2	0.2175	6
barcode18	Boreoeutheria	C3	0.2175	6
barcode18	Candida/Lodderomyces clade	F1	0.07	2
barcode18	Catarrhini	O3	0.2175	6
barcode18	Chordata	P	0.2175	6
barcode18	Cnidaria	P	84.805	13481
barcode18	Colletotrichum	G	0.19666666666666668	3
barcode18	Colletotrichum destructivum species complex	G1	0.19666666666666668	3
barcode18	Colletotrichum higginsianum	S	0.19666666666666668	3
barcode18	Colletotrichum higginsianum IMI 349063	S1	0.19666666666666668	3
barcode18	Craniata	P1	0.2175	6
barcode18	Cryptococcaceae	F	0.18	3
barcode18	Debaryomycetaceae	F	0.07	2
barcode18	Deuterostomia	K3	0.2175	6
barcode18	Didymellaceae	F	0.06	1
barcode18	Dikarya	K1	0.26416666666666666	23
barcode18	Dipnotetrapodomorpha	P7	0.2175	6
barcode18	Dothideomycetes	C	0.06	1
barcode18	Drechmeria	G	0.23	4
barcode18	Drechmeria coniospora	S	0.23	4
barcode18	Euarchontoglires	C4	0.2175	6
barcode18	Eukaryota	R2	85.0495	13515
barcode18	Eumetazoa	K1	84.88250000000001	13490
barcode18	Eunicea	G	84.805	13481
barcode18	Eunicea knighti	S	84.805	13481
barcode18	Euteleostomi	P5	0.2175	6
barcode18	Eutheria	C2	0.2175	6
barcode18	Fungi	K	0.26416666666666666	23
barcode18	Fusarium	G	0.12	2
barcode18	Fusarium fujikuroi	S	0.06	1
barcode18	Fusarium fujikuroi IMI 58289	S1	0.06	1
barcode18	Fusarium fujikuroi species complex	G1	0.06	1
barcode18	Fusarium graminearum	S	0.06	1
barcode18	Fusarium graminearum PH-1	S1	0.06	1
barcode18	Fusarium sambucinum species complex	G1	0.06	1
barcode18	Glomerellaceae	F	0.19666666666666668	3
barcode18	Glomerellales	O	0.19666666666666668	3
barcode18	Gnathostomata	P3	0.2175	6
barcode18	Haplorrhini	O1	0.2175	6
barcode18	Hominidae	F	0.2175	6
barcode18	Homininae	F1	0.2175	6
barcode18	Hominoidea	O4	0.2175	6
barcode18	Homo	G	0.2175	6
barcode18	Homo sapiens	S	0.2175	6
barcode18	Hypocreales	O	0.204	7
barcode18	Hypocreomycetidae	C1	0.20125	10
barcode18	Kwoniella	G	0.18	3
barcode18	Kwoniella botswanensis	S	0.08	1
barcode18	Kwoniella newhampshirensis	S	0.06	1
barcode18	Lodderomyces	G	0.07	2
barcode18	Lodderomyces beijingensis	S	0.07	2
barcode18	Magnaporthales	O	0.07	1
barcode18	Malacalcyonacea	O	84.805	13481
barcode18	Mammalia	C	0.2175	6
barcode18	Metazoa	K	84.88250000000001	13490
barcode18	Methanobacteriati	K	0.21	1
barcode18	Methanobacteriota	P	0.21	1
barcode18	Methanomicrobia	C	0.21	1
barcode18	Methanosarcina	G	0.21	1
barcode18	Methanosarcina barkeri	S	0.21	1
barcode18	Methanosarcina barkeri str. Wiesmoor	S1	0.21	1
barcode18	Methanosarcinaceae	F	0.21	1
barcode18	Methanosarcinales	O	0.21	1
barcode18	Nectriaceae	F	0.12	2
barcode18	Neurospora	G	0.17	1
barcode18	Neurospora crassa	S	0.17	1
barcode18	Neurospora crassa OR74A	S1	0.17	1
barcode18	Octocorallia	C1	84.805	13481
barcode18	Ophiocordycipitaceae	F	0.225	5
barcode18	Opisthokonta	R3	85.0495	13515
barcode18	Pezizomycotina	P2	0.20166666666666666	17
barcode18	Pichiomycetes	C	0.07	2
barcode18	Pleosporales	O	0.06	1
barcode18	Pleosporineae	O1	0.06	1
barcode18	Pleosporomycetidae	C1	0.06	1
barcode18	Plexauridae	F	84.805	13481
barcode18	Primates	O	0.2175	6
barcode18	Puccinia	G	0.06	1
barcode18	Puccinia striiformis	S	0.06	1
barcode18	Puccinia striiformis f. sp. tritici	S1	0.06	1
barcode18	Pucciniaceae	F	0.06	1
barcode18	Pucciniales	O	0.06	1
barcode18	Pucciniomycetes	C	0.06	1
barcode18	Pucciniomycotina	P1	0.06	1
barcode18	Purpureocillium	G	0.21	1
barcode18	Purpureocillium takamizusanense	S	0.21	1
barcode18	Pyricularia	G	0.07	1
barcode18	Pyricularia oryzae	S	0.07	1
barcode18	Pyricularia oryzae 70-15	S1	0.07	1
barcode18	Pyriculariaceae	F	0.07	1
barcode18	Remersonia	G	0.06	1
barcode18	Remersonia thermophila	S	0.06	1
barcode18	Saccharomycotina	P2	0.07	2
barcode18	Sarcopterygii	P6	0.2175	6
barcode18	Serinales	O	0.07	2
barcode18	Simiiformes	O2	0.2175	6
barcode18	Sordariaceae	F	0.17	1
barcode18	Sordariales	O	0.115	2
barcode18	Sordariales incertae sedis	O1	0.06	1
barcode18	Sordariomycetes	C	0.19636363636363638	15
barcode18	Sordariomycetidae	C1	0.1	3
barcode18	Stenosarchaea group	P1	0.21	1
barcode18	Teleostomi	P4	0.2175	6
barcode18	Tetrapoda	P8	0.2175	6
barcode18	Theria	C1	0.2175	6
barcode18	Tremellales	O	0.18	3
barcode18	Tremellomycetes	C	0.18	3
barcode18	Vertebrata	P2	0.2175	6
barcode18	cellular organisms	R1	85.072	13518
barcode18	dothideomyceta	P4	0.06	1
barcode18	leotiomyceta	P3	0.20166666666666666	17
barcode18	root	R	85.072	13518
barcode18	saccharomyceta	P1	0.21416666666666667	19
barcode18	sordariomyceta	P4	0.19636363636363638	15
barcode18	unclassified	U	14.928	2322
barcode19	Agaricomycotina	P1	0.24000000000000002	4
barcode19	Amniota	P9	0.23750000000000002	6
barcode19	Anthozoa	C	82.239	10214
barcode19	Ascochyta	G	0.08	1
barcode19	Ascochyta rabiei	S	0.08	1
barcode19	Ascomycota	P	0.252	20
barcode19	Basidiomycota	P	0.245	5
barcode19	Bilateria	K2	0.23750000000000002	6
barcode19	Boreoeutheria	C3	0.23750000000000002	6
barcode19	Candida/Lodderomyces clade	F1	0.155	4
barcode19	Catarrhini	O3	0.23750000000000002	6
barcode19	Cercospora	G	0.13	1
barcode19	Cercospora beticola	S	0.13	1
barcode19	Chaetomiaceae	F	0.12	1
