specimen_id,chrom,n_positions,mean_coverage,median_coverage,sd_coverage,mean_methylation_5mC,positions_10x,pct_positions_10x
USNM_51892,OZ247652.1,9561454,1.4888281635826517,1,1.3829442707159352,4.794169089750243,38839,0.4062039099910955
USNM_51892,OZ247653.1,8872107,1.3799425547956083,1,1.0888588794840912,2.2753998017741073,17993,0.20280413660475463
USNM_51892,OZ247654.1,8352343,1.395151995074915,1,1.1321688995569492,2.0950418759959146,19079,0.22842692164342387
USNM_51892,OZ247656.1,4472118,1.3947315343647015,1,1.099538496597309,2.7089671387219907,7531,0.16839895548373277
USNM_51892,OZ247655.1,3789215,1.6575346080916495,1,4.283852740894203,3.3350673168990608,22338,0.5895152426030194
USNM_51892,OZ247657.1,3478517,1.3566002408497644,1,0.9543464379901879,2.98273755076515,6552,0.18835612992548262
USNM_51892,OZ247658.1,3077803,1.3889712889356467,1,0.9885026173172745,3.053421379359688,5180,0.16830186987276313
USNM_51892,OZ247661.1,3056100,1.6980612545401002,1,2.3213861754673646,2.4976975660057157,18540,0.6066555413762639
USNM_51892,OZ247662.1,2826598,1.3842527306677497,1,1.077569205626381,3.5121261810090108,6739,0.23841381052417074
USNM_51892,OZ247665.1,2737104,1.4327047857881907,1,1.0211127542608354,3.6060081808071485,4526,0.16535725350589528
USNM_51892,OZ247664.1,2708938,1.3820065280194673,1,1.0294777119341596,3.4863211828429224,5384,0.19874947304072665
USNM_51892,OZ247660.1,2699771,1.42849967645404,1,1.6425769359468616,3.172375759566432,6911,0.25598467425570537
USNM_51892,OZ247663.1,2661067,1.4048049147202983,1,1.1273421906728875,2.6356418163015882,7475,0.28090235984287504
USNM_51892,OZ247666.1,2579025,1.3812937059547696,1,1.2354851105809783,3.4321845684096344,5883,0.22810945997033763
USNM_51892,OZ247668.1,2283960,1.3799847633058373,1,1.0128799878147448,3.38464249391748,5177,0.22666771747316067
USNM_51892,OZ247659.1,2242944,1.3953540525309593,1,1.4886205809523243,3.6777535410764877,5676,0.253060263653484
USNM_51892,OZ247667.1,2180469,1.3613410692837182,1,1.176308821741904,4.087572896172287,5492,0.25187241827331647
USNM_51892,CBDDTY010000010.1,223665,1.4845907942682137,1,1.096685868017598,2.750399288716457,536,0.23964411061185253
USNM_51892,CBDDTY010000018.1,166039,1.4312360349074615,1,1.1449859779715545,2.5793979688755755,518,0.3119748974638489
USNM_51892,CBDDTY010000019.1,144323,1.3495077014751633,1,1.1572743453640102,0.35127971109652,437,0.30279304061029777
USNM_51892,CBDDTY010000022.1,118179,1.4892916677243841,1,0.9396809076527813,3.482454706142289,82,0.06938626998028415
USNM_51892,CBDDTY010000001.1,117826,1.3074109279785446,1,0.6986408482333339,8.198690721649484,0,0
USNM_51892,CBDDTY010000025.1,114659,1.418004692174186,1,0.8680190010078445,3.250936943355896,23,0.020059480721094723
USNM_51892,CBDDTY010000020.1,113721,1.3680586699026565,1,0.9259922395962206,2.990123158126237,202,0.17762770288688987
USNM_51892,CBDDTY010000029.1,100443,2.6595282896767323,1,4.278592223064247,6.611272461814915,4613,4.592654540386089
USNM_51892,CBDDTY010000023.1,88341,3.421661516170295,1,14.428760265670636,17.61611396913336,3869,4.379619882047973
USNM_51892,CBDDTY010000036.1,74977,1.4239700174720247,1,0.970851601104598,3.721545746659902,121,0.16138282406604693
USNM_51892,CBDDTY010000031.1,68556,1.603710834937861,1,1.464746879682217,3.3711792997306658,448,0.6534803664157769
USNM_51892,CBDDTY010000035.1,67691,1.524545360535374,1,1.2038862557400487,2.7230341712490183,235,0.34716579752108845
USNM_51892,CBDDTY010000015.1,62617,1.5408914512033474,1,1.7786582220582794,3.0829840208101076,607,0.9693853106983726
USNM_51892,CBDDTY010000027.1,62168,1.348314245270879,1,0.8678099670426248,2.9544476244991413,105,0.16889718182988034
USNM_51892,CBDDTY010000034.1,54190,2.5054438088208157,1,6.566427797385476,4.986970382558618,1692,3.122347296549179
USNM_51892,CBDDTY010000042.1,50917,1.4458235952628788,1,0.839619674967446,1.9781430964345537,6,0.011783883575230277
USNM_51892,CBDDTY010000028.1,49373,1.710894618516193,1,2.4316439132262717,0.501582974653276,517,1.047131023028781
USNM_51892,CBDDTY010000011.1,48772,1.6439145411301566,1,1.34103746921352,6.409917553191489,233,0.4777331255638481
USNM_51892,CBDDTY010000026.1,41686,1.483927457659646,1,1.0944014615821551,7.117487753673898,117,0.28066976922707865
USNM_51892,CBDDTY010000046.1,40545,1.6182513256875077,1,1.3326401263907792,3.0350710594315244,164,0.40448883956098164
USNM_51892,CBDDTY010000032.1,38907,1.3252885084946153,1,0.7685930829175652,3.7867493472584854,0,0
USNM_51892,CBDDTY010000039.1,35498,1.321454729843935,1,0.7427117223601795,3.97196261682243,17,0.0478900219730689
USNM_51892,CBDDTY010000048.1,34099,1.4951758116073786,1,1.02419490406255,1.297685683530678,4,0.011730549282970175
USNM_51892,CBDDTY010000056.1,31178,1.643787285906729,1,1.4948125502302572,2.4903590590177465,250,0.8018474565398679
USNM_51892,CBDDTY010000053.1,30628,1.2144442993339428,1,0.4896662852232522,1.3746044303797469,0,0
USNM_51892,CBDDTY010000038.1,30455,1.4762764734854703,1,1.001027411926251,2.4152804557405783,37,0.12149072401904448
USNM_51892,CBDDTY010000002.1,28564,1.5906385660271671,1,1.4253389441517532,0.1887504718761797,192,0.6721747654390141
USNM_51892,CBDDTY010000049.1,27392,1.6454804322429906,1,1.3452341854115155,1.2488825503355705,82,0.299357476635514
USNM_51892,CBDDTY010000044.1,27199,1.5835508658406559,1,1.1520846714881052,4.270231102551757,75,0.27574543181734623
USNM_51892,CBDDTY010000070.1,27034,1.3030258193386106,1,0.6307105114033045,3.276290471785384,0,0
USNM_51892,CBDDTY010000060.1,26376,1.9217091295116773,1,2.101151382420155,3.4162912258867455,431,1.6340612678192294
