mod_bases	A,C
count_reads_A	99999
count_reads_C	94215
A_pass_calls_unmodified	8779946
A_pass_frac_unmodified	0.9939080307923205
A_fail_calls_unmodified	776801
A_pass_calls_modified_a	53815
A_pass_frac_modified_a	0.0060919692076794926
A_fail_calls_modified_a	186875
A_total_mod_calls	8833761
A_total_fail_mod_calls	963676
C_pass_calls_unmodified	673323
C_pass_frac_unmodified	0.9347826388763555
C_fail_calls_unmodified	50254
C_pass_calls_modified_h	7478
C_pass_frac_modified_h	0.010381799780368985
C_fail_calls_modified_h	17526
C_pass_calls_modified_m	39498
C_pass_frac_modified_m	0.0548355613432755
C_fail_calls_modified_m	11741
C_total_mod_calls	720299
C_total_fail_mod_calls	79521
total_reads_used	100000
