mod_bases	A,C
count_reads_A	77029
count_reads_C	73271
A_pass_calls_unmodified	6671495
A_pass_frac_unmodified	0.9948147024821103
A_fail_calls_unmodified	567141
A_pass_calls_modified_a	34774
A_pass_frac_modified_a	0.005185297517889605
A_fail_calls_modified_a	156062
A_total_mod_calls	6706269
A_total_fail_mod_calls	723203
C_pass_calls_unmodified	538926
C_pass_frac_unmodified	0.9432848673881424
C_fail_calls_unmodified	39333
C_pass_calls_modified_h	5653
C_pass_frac_modified_h	0.009894474112114035
C_fail_calls_modified_h	14247
C_pass_calls_modified_m	26750
C_pass_frac_modified_m	0.04682065849974358
C_fail_calls_modified_m	9072
C_total_mod_calls	571329
C_total_fail_mod_calls	62652
total_reads_used	77029
