mod_bases	C,A
count_reads_A	76252
count_reads_C	72681
C_pass_calls_modified_h	11033
C_pass_frac_modified_h	0.02221931326150438
C_fail_calls_modified_h	17045
C_pass_calls_unmodified	463287
C_pass_frac_unmodified	0.9330117812909072
C_fail_calls_unmodified	27821
C_pass_calls_modified_m	22230
C_pass_frac_modified_m	0.04476890544758836
C_fail_calls_modified_m	9671
C_total_mod_calls	496550
C_total_fail_mod_calls	54537
A_pass_calls_modified_a	63171
A_pass_frac_modified_a	0.011383491261682446
A_fail_calls_modified_a	145263
A_pass_calls_unmodified	5486181
A_pass_frac_unmodified	0.9886165087383175
A_fail_calls_unmodified	465878
A_total_mod_calls	5549352
A_total_fail_mod_calls	611141
total_reads_used	76253
